"","ETBL_ID","ETBL_NOM_FR","ADR_CIVIQUE","ADR_MUNICIPALITE","ADR_CODE_POSTAL","ADR_LATITUDE","ADR_LONGITUDE"
"1496",1145900,"HÔTEL LE RUSTIQUE","285, rue Principale","Saint-Irénée","G0T1V0",47.5677429,-70.2071782
"1497",1146034,"HÔTEL CLASSIQUE","2815, boul. Laurier","Québec","G1V4H3",46.767772,-71.286934
"1498",1146199,"MOTEL ARNOLD","591, rue St-Augustin","Saint-Augustin-de-Woburn","G0Y1R0",45.385271,-70.863415
"1499",1146258,"CHALETS RAINBOW","511, rte 132 O.","Percé","G0C2L0",48.497135,-64.238648
"1500",1146303,"MOTEL LE QUIET","3284, rue Laval","Lac-Mégantic","G6B1A4",45.591953,-70.909372
"1501",1146421,"AUBERGE SAINT-LOUIS","48, rue St-Louis","Québec","G1R3Z3",46.811469,-71.208041
"1502",1146480,"CENTRE DE CONGRÈS ET HÔTEL LA SAGUENÉENNE","250, rue des Saguenéens","Saguenay","G7H3A4",48.405174,-71.063649
"1503",1146654,"MOTEL CHALETS LYSTER","625, rue Laurier","Lyster","G0S1V0",46.370859,-71.612964
"1504",1146709,"MAISON SAINTE-URSULE","40, rue Ste-Ursule","Québec","G1R4E2",46.811495,-71.210539
"1505",1146767,"HÔTEL LA MAISON DEMERS","68, rue Ste-Ursule","Québec","G1R4E6",46.810712,-71.20952
"1506",1146829,"MOTEL LA TRADITION","184, rte 132 E.","Carleton-sur-Mer","G0C2Z0",48.107302,-66.201682
"1507",1146990,"HÔTEL-MOTEL HOSPITALITÉ","3500, boul. Guillaume-Couture","Lévis","G6W6N7",46.768592,-71.201127
"1508",1147153,"MOTEL CHALET A. DUFOUR","414, ch. de la Baleine","L'Isle-aux-Coudres","G0A2A0",47.412919,-70.336293
"1509",1147195,"MOTEL GUY","151, route Marie-Victorin","Lévis","G7A2T3",46.739144,-71.28995
"1510",1147374,"CHALETS MONTMORENCY AU MONT SAINTE-ANNE","1768, av. Royale","Saint-Ferréol-les-Neiges","G0A3R0",47.082019,-70.895216
"1511",1147466,"MOTEL DES CÈDRES","54, rte 132","Lac-au-Saumon","G0J1M0",48.440632,-67.349432
"1512",1147611,"MOTEL LE VACANCIER","329, rte de la Grande-Alliance","Baie-Sainte-Catherine","G0T1A0",48.080275,-69.735931
"1513",1147742,"MOTEL LE VILLAGEOIS","60, rte Campagna","Saint-Henri","G0R3E0",46.699306,-71.070581
"1514",1147853,"MOTEL LE BARILLET","75, rue du Seigneur-Côté","L'Isle-Verte","G0L1K0",48.018406,-69.33418
"1515",1147917,"AUBERGE MICHEL DOYON","1215, ch. Ste-Foy","Québec","G1S2N1",46.796296,-71.250781
"1516",1147983,"HÔTEL MANOIR SUR LE CAP","9, av. Ste-Geneviève","Québec","G1R4A7",46.810444,-71.205398
"1517",1148050,"HÔTEL MANOIR SAINTE-GENEVIÈVE","13, av. Ste-Geneviève","Québec","G1R4A7",46.810367,-71.205673
"1518",1148108,"HÔTEL LE CHÂTEAU DE PIERRE","17, av. Ste-Geneviève","Québec","G1R4A8",46.810251,-71.206092
