ETBL_ID;ADR_ID;ADR_GENRE_ID;ADR_GENRE_FR;ADR_GENRE_EN;ADR_PRINCIPALE;ADR_CIVIQUE;ADR_MUNICIPALITE;ADR_PROVINCE;ADR_PAYS;ADR_CODE_POSTAL;ADR_PNT_SERVC_FR;ADR_PNT_SERVC_EN;ADR_PNT_SERVC_DEFAUT;ADR_LATITUDE;ADR_LONGITUDE;ADR_COMMENT_FR;ADR_COMMENT_EN
858572;858576;7;Exploitation;Operations;1;1180, rue de la Montagne;Montréal;Québec;Canada;H3G1Z1;;;1;45.497056;-73.573452;;
858802;858806;7;Exploitation;Operations;1;40, rue Dubois;Saint-Eustache;Québec;Canada;J7P4W9;;;1;45.570375;-73.909632;;
859049;859053;7;Exploitation;Operations;1;3950, av. Laval;Montréal;Québec;Canada;H2W2J2;;;1;45.518694;-73.576266;;
859102;859106;7;Exploitation;Operations;1;99, av. Viger O.;Montréal;Québec;Canada;H2Z1E9;;;1;45.506836;-73.559529;;
859376;859380;7;Exploitation;Operations;1;7720, rte Marie-Victorin;Sorel-Tracy;Québec;Canada;J3R1T3;;;1;46.01614;-73.160763;;
859575;859579;7;Exploitation;Operations;1;1291, rang du Pied-De-La-Montagne;Sainte-Mélanie;Québec;Canada;J0K3A0;;;1;46.153653;-73.52681;;
859750;859754;7;Exploitation;Operations;1;6680, boul. Taschereau;Brossard;Québec;Canada;J4W1M8;;;1;45.469425;-73.46826;;
859975;859979;7;Exploitation;Operations;1;1708, boul. Fernand-Lafontaine;Rivière-Rouge;Québec;Canada;J0T1T0;;;1;46.515654;-74.990741;;
860050;860054;7;Exploitation;Operations;1;22, rue Notre-Dame;Sainte-Anne-du-Lac;Québec;Canada;J0W1C0;;;1;46.87933;-75.323395;;
860106;860110;7;Exploitation;Operations;1;650, rue du Domaine;Sainte-Agathe-des-Monts;Québec;Canada;J8C3C9;;;1;46.044091;-74.255015;;
860234;860238;7;Exploitation;Operations;1;215, boul. René-Lévesque E.;Montréal;Québec;Canada;H2X1N7;;;1;45.510974;-73.560042;;
860754;15603281;7;Exploitation;Operations;1;25, rue des Oblats N.;Ville-Marie;Québec;Canada;J9V1H9;;;1;47.334817;-79.437172;;
861215;19832153;7;Exploitation;Operations;1;428, av. de Buckingham;Gatineau;Québec;Canada;J8L2G7;;;1;45.588477;-75.416788;;
861348;15603282;7;Exploitation;Operations;1;2, ch. de Fabre;Ville-Marie;Québec;Canada;J9V1E3;;;1;47.326653;-79.441284;;
861636;861640;7;Exploitation;Operations;1;2308, ch. des Patriotes;Saint-Ours;Québec;Canada;J0G1P0;;;1;45.903881;-73.14814;;
861697;861701;7;Exploitation;Operations;1;5800, rue Sherbrooke E.;Montréal;Québec;Canada;H1N1B2;;;1;45.574775;-73.547882;;
861758;19913689;7;Exploitation;Operations;1;1633, ch. Sullivan;Val-d'Or;Québec;Canada;J9P1M4;;;1;48.105912;-77.811431;;
861926;861930;7;Exploitation;Operations;1;6960, rue St-Jacques;Montréal;Québec;Canada;H4B1V8;;;1;45.45926;-73.62698;;
862117;20289180;7;Exploitation;Operations;1;1006, rte 117;Saint-Faustin-Lac-Carré;Québec;Canada;J0T1J2;;;1;46.109652;-74.487636;;
862263;862267;7;Exploitation;Operations;1;357, rte 117;Saint-Faustin-Lac-Carré;Québec;Canada;J0T1J2;;;1;46.112892;-74.524728;;
